avg_goals_rank	home_adv_rank	country	league	num_games	num_teams	avg_goals	home_advantage_score	left_tail	right_tail	countryCode
150	144	Armenia	Premier League 2016/2017	90	6	2.222	0.02	-0.258	0.299	ARM
151	154	Jordan	Premier League 2016/2017	132	12	2.197	-0.034	-0.262	0.194	JOR
152	157	Liberia	LFA First Division 2016/2017	125	12	2.16	-0.089	-0.323	0.145	LBR
153	29	Sierra Leone	Premier League 2014	90	14	2.156	0.376	0.06	0.691	SLE
154	134	Mali	Premiere Division 2016	162	19	2.111	0.064	-0.153	0.281	MLI
155	43	Cameroon	Elite One 2017	303	18	2.099	0.337	0.166	0.508	CMR
156	145	Panama	LPF 2016/2017	180	10	2.089	0.005	-0.197	0.208	PAN
157	142	Gambia	GFA League 2016/2017	131	12	1.969	0.032	-0.218	0.281	GMB
158	126	Ivory Coast	Ligue 1 2016/2017	182	14	1.901	0.11	-0.107	0.327	CIV
159	121	Burkina Faso	Premier League 2016/2017	240	16	1.825	0.121	-0.072	0.314	BFA
